sight_name,sight_rating,sight_reviews,LAT,LNG
Haleakalā Crater,4.9,8,20.7096921,-156.2535147
Sandy Beach,4.6,153,33.9322304,-117.96674
Banzai Pipeline,4.8,254,21.6648658,-158.0529609
Fern Grotto,4.3,511,22.0395109,-159.3592349
Mākena State Park,4.8,1194,20.6640373,-156.4418414
Lāna‘i City,0.0,0,20.8305556,-156.9222222
Makapu‘u Point,4.8,25,21.3106795,-157.6492622
Halona Blow Hole,4.4,112,21.2821575,-157.676693
Honolulu Museum of Art,4.5,1151,21.3039081,-157.8486576
Chain of Craters Road,0.0,0,19.3140504,-155.1507292
Nāhuku - Thurston Lava Tube,4.4,528,19.4138014,-155.238647
Halemaumau Crater,4.8,13,19.41,-155.286389
King Kamehameha Statue,4.4,1319,21.3057277,-157.8596457
Wet'n'Wild Hawaii,4.1,1569,21.3353813,-158.0871637
Ke'e Beach,4.2,45,22.2235082,-159.5798426
Ho’omaluhia Botanical Garden,4.6,1865,21.3865346,-157.8049893
National Memorial Cemetery of the Pacific,4.7,443,21.312771,-157.8462578
Spouting Horn,4.3,132,21.8847695,-159.4932028
Waialeale,4.4,20,22.0706522,-159.4961272
Kohala,4.3,53,20.0859161,-155.7171332
Dole Plantation,4.1,16202,21.5260517,-158.0376481
Kahalu’u Beach Park,4.5,1921,19.5793336,-155.966624
Pololū Valley,4.9,39,20.2069444,-155.7336111
Anini Beach,4.7,110,22.2232101,-159.4629983
Aloha Tower,4.2,606,21.3071238,-157.8660266
Paradise Cove Luau,4.5,3478,21.3436807,-158.1275506
Tunnels Beach,4.5,73,22.226225,-159.5586623
Tantalus,4.7,31,21.31343,-157.8228439
Kamaole Beach Park III,4.7,1386,20.7128808,-156.4460767
Kaloko-Honokōhau National Historical Park,4.6,1015,19.6787061,-156.0216995
Poipu Beach Park,4.6,2936,21.8732114,-159.4533148
